price_datetime;price;price_promo;sku_status;sku_barcode;sku_article;sku_name;sku_category;sku_country;sku_weight_min;sku_volume_min;sku_quantity_min;sku_link;sku_images
2022-11-15 19:10:12.716376;;;0;;;ALPHAPET SUPERPREMIUM сухой корм для взрослых собак крупных пород с говядиной и сердцем;Главная|Каталог|Товары и корма для собак|Корм сухой|ALPHAPET SUPERPREMIUM сухой корм для взрослых собак крупных пород с говядиной и сердцем;Россия;;;;https://zootovary.ru/catalog/tovary-i-korma-dlya-sobak/korm-sukhoy/alphapet-superpremium-sukhoy-korm-dlya-vzroslykh-sobak-krupnykh-porod-s-govyadinoy-i-serdtsem.html;https://zootovary.ru/upload/resize_cache/iblock/b94/500_500_1dfc9401eed6705ea741f22b962e86776/8ead4713_0136_11ed_8bac_2cd05ace9ba7_b01cc097_2040_11ed_8bb7_2cd05ace9ba7.jpg
2022-11-15 19:10:13.403789;139 р;125 р;1;4607126773472;41402;Наша Марка Корм для Собак Мелких Пород Мясом Цыпленка и Овощами;Главная|Каталог|Товары и корма для собак|Корм сухой|Наша Марка Корм для Собак Мелких Пород Мясом Цыпленка и Овощами;Россия;500г;;;https://zootovary.ru/catalog/tovary-i-korma-dlya-sobak/korm-sukhoy/nasha-marka-korm-dlya-sobak-melkikh-porod-myasom-tsyplenka-i-ovoshchami.html;https://zootovary.ru/upload/resize_cache/iblock/9df/450_450_1dfc9401eed6705ea741f22b962e86776/Nasha-Marka-Korm-dlya-Sobak-Melkikh-Porod-Myasom-TSyplenka-i-Ovoshchami-kupit-Zootovary.Ru.jpg,https://zootovary.ru/upload/resize_cache/iblock/932/450_450_1dfc9401eed6705ea741f22b962e86776/Nasha-Marka-Korm-dlya-Sobak-Melkikh-Porod-Myasom-TSyplenka-i-Ovoshchami-kupit-Zootovary.Ru.jpg
2022-11-15 19:10:13.403789;746 р;671 р;1;4607126773489;41187;Наша Марка Корм для Собак Мелких Пород Мясом Цыпленка и Овощами;Главная|Каталог|Товары и корма для собак|Корм сухой|Наша Марка Корм для Собак Мелких Пород Мясом Цыпленка и Овощами;Россия;3кг;;;https://zootovary.ru/catalog/tovary-i-korma-dlya-sobak/korm-sukhoy/nasha-marka-korm-dlya-sobak-melkikh-porod-myasom-tsyplenka-i-ovoshchami.html;https://zootovary.ru/upload/resize_cache/iblock/9df/450_450_1dfc9401eed6705ea741f22b962e86776/Nasha-Marka-Korm-dlya-Sobak-Melkikh-Porod-Myasom-TSyplenka-i-Ovoshchami-kupit-Zootovary.Ru.jpg,https://zootovary.ru/upload/resize_cache/iblock/932/450_450_1dfc9401eed6705ea741f22b962e86776/Nasha-Marka-Korm-dlya-Sobak-Melkikh-Porod-Myasom-TSyplenka-i-Ovoshchami-kupit-Zootovary.Ru.jpg
2022-11-15 19:10:15.850157;3 074 р;2 946 р;1;4627150139938;78473;РОДНЫЕ КОРМА сухой корм для щенков;Главная|Каталог|Товары и корма для собак|Корм сухой|РОДНЫЕ КОРМА сухой корм для щенков;Poccия;10кг;;;https://zootovary.ru/catalog/tovary-i-korma-dlya-sobak/korm-sukhoy/rodnye-korma-sukhoy-korm-dlya-shchenkov.html;https://zootovary.ru/upload/resize_cache/iblock/02c/500_500_1dfc9401eed6705ea741f22b962e86776/RODNYE-KORMA-sukhoy-korm-dlya-shchenkov-kupit-Zootovary.Ru.jpg,https://zootovary.ru/upload/resize_cache/iblock/310/450_450_1dfc9401eed6705ea741f22b962e86776/RODNYE-KORMA-sukhoy-korm-dlya-shchenkov-kupit-Zootovary.Ru.jpg,https://zootovary.ru/upload/resize_cache/iblock/d15/450_450_1dfc9401eed6705ea741f22b962e86776/RODNYE-KORMA-sukhoy-korm-dlya-shchenkov-kupit-Zootovary.Ru.jpg,https://zootovary.ru/upload/resize_cache/iblock/db9/450_450_1dfc9401eed6705ea741f22b962e86776/RODNYE-KORMA-sukhoy-korm-dlya-shchenkov-kupit-Zootovary.Ru.jpg
2022-11-15 19:10:15.850157;802 р;722 р;1;4627075537796;66400;РОДНЫЕ КОРМА сухой корм для щенков;Главная|Каталог|Товары и корма для собак|Корм сухой|РОДНЫЕ КОРМА сухой корм для щенков;Poccия;2.045кг;;;https://zootovary.ru/catalog/tovary-i-korma-dlya-sobak/korm-sukhoy/rodnye-korma-sukhoy-korm-dlya-shchenkov.html;https://zootovary.ru/upload/resize_cache/iblock/02c/500_500_1dfc9401eed6705ea741f22b962e86776/RODNYE-KORMA-sukhoy-korm-dlya-shchenkov-kupit-Zootovary.Ru.jpg,https://zootovary.ru/upload/resize_cache/iblock/310/450_450_1dfc9401eed6705ea741f22b962e86776/RODNYE-KORMA-sukhoy-korm-dlya-shchenkov-kupit-Zootovary.Ru.jpg,https://zootovary.ru/upload/resize_cache/iblock/d15/450_450_1dfc9401eed6705ea741f22b962e86776/RODNYE-KORMA-sukhoy-korm-dlya-shchenkov-kupit-Zootovary.Ru.jpg,https://zootovary.ru/upload/resize_cache/iblock/db9/450_450_1dfc9401eed6705ea741f22b962e86776/RODNYE-KORMA-sukhoy-korm-dlya-shchenkov-kupit-Zootovary.Ru.jpg
2022-11-15 19:10:15.850157;4 854 р;4 653 р;1;4627075534955;65169;РОДНЫЕ КОРМА сухой корм для щенков;Главная|Каталог|Товары и корма для собак|Корм сухой|РОДНЫЕ КОРМА сухой корм для щенков;Poccия;16.38кг;;;https://zootovary.ru/catalog/tovary-i-korma-dlya-sobak/korm-sukhoy/rodnye-korma-sukhoy-korm-dlya-shchenkov.html;https://zootovary.ru/upload/resize_cache/iblock/02c/500_500_1dfc9401eed6705ea741f22b962e86776/RODNYE-KORMA-sukhoy-korm-dlya-shchenkov-kupit-Zootovary.Ru.jpg,https://zootovary.ru/upload/resize_cache/iblock/310/450_450_1dfc9401eed6705ea741f22b962e86776/RODNYE-KORMA-sukhoy-korm-dlya-shchenkov-kupit-Zootovary.Ru.jpg,https://zootovary.ru/upload/resize_cache/iblock/d15/450_450_1dfc9401eed6705ea741f22b962e86776/RODNYE-KORMA-sukhoy-korm-dlya-shchenkov-kupit-Zootovary.Ru.jpg,https://zootovary.ru/upload/resize_cache/iblock/db9/450_450_1dfc9401eed6705ea741f22b962e86776/RODNYE-KORMA-sukhoy-korm-dlya-shchenkov-kupit-Zootovary.Ru.jpg
2022-11-15 19:10:15.850157;189 р;170 р;1;4627150133332;70520;РОДНЫЕ КОРМА сухой корм для щенков;Главная|Каталог|Товары и корма для собак|Корм сухой|РОДНЫЕ КОРМА сухой корм для щенков;Poccия;409г;;;https://zootovary.ru/catalog/tovary-i-korma-dlya-sobak/korm-sukhoy/rodnye-korma-sukhoy-korm-dlya-shchenkov.html;https://zootovary.ru/upload/resize_cache/iblock/02c/500_500_1dfc9401eed6705ea741f22b962e86776/RODNYE-KORMA-sukhoy-korm-dlya-shchenkov-kupit-Zootovary.Ru.jpg,https://zootovary.ru/upload/resize_cache/iblock/310/450_450_1dfc9401eed6705ea741f22b962e86776/RODNYE-KORMA-sukhoy-korm-dlya-shchenkov-kupit-Zootovary.Ru.jpg,https://zootovary.ru/upload/resize_cache/iblock/d15/450_450_1dfc9401eed6705ea741f22b962e86776/RODNYE-KORMA-sukhoy-korm-dlya-shchenkov-kupit-Zootovary.Ru.jpg,https://zootovary.ru/upload/resize_cache/iblock/db9/450_450_1dfc9401eed6705ea741f22b962e86776/RODNYE-KORMA-sukhoy-korm-dlya-shchenkov-kupit-Zootovary.Ru.jpg
2022-11-15 19:10:16.996871;192 р;173 р;1;4670002949636;z79696;WINNER MEAT Корм сухой полнорационный для взрослых собак мелких пород из ароматной курочки;Главная|Каталог|Товары и корма для собак|Корм сухой|WINNER MEAT Корм сухой полнорационный для взрослых собак мелких пород из ароматной курочки;Poccия;500г;;;https://zootovary.ru/catalog/tovary-i-korma-dlya-sobak/korm-sukhoy/winner-meat-korm-sukhoy-polnoratsionnyy-dlya-vzroslykh-sobak-melkikh-porod-iz-aromatnoy-kurochki.html;https://zootovary.ru/upload/resize_cache/iblock/d47/500_500_1dfc9401eed6705ea741f22b962e86776/WINNER-MEAT-Korm-sukhoy-polnoratsionnyy-dlya-vzroslykh-sobak-melkikh-porod-iz-aromatnoy-kurochki-kupit-Zootovary.Ru.jpg
2022-11-15 19:10:18.967707;816 р;734 р;1;4607065002688;z37966;Pedigree Педигри Сухой Корм для Взрослых Собак Мелких Пород Говядина;Главная|Каталог|Товары и корма для собак|Корм сухой|Pedigree Педигри Сухой Корм для Взрослых Собак Мелких Пород Говядина;Poccия;2.2кг;;;https://zootovary.ru/catalog/tovary-i-korma-dlya-sobak/korm-sukhoy/pedigree-pedigri-sukhoy-korm-dlya-vzroslykh-sobak-melkikh-porod-govyadina.html;https://zootovary.ru/upload/resize_cache/iblock/c52/450_450_1dfc9401eed6705ea741f22b962e86776/Pedigree-Pedigri-Sukhoy-Korm-dlya-Vzroslykh-Sobak-Melkikh-Porod-Govyadina-kupit-Zootovary.Ru.jpg,https://zootovary.ru/upload/resize_cache/iblock/e30/450_450_1dfc9401eed6705ea741f22b962e86776/Pedigree-Pedigri-Sukhoy-Korm-dlya-Vzroslykh-Sobak-Melkikh-Porod-Govyadina-kupit-Zootovary.Ru.jpg,https://zootovary.ru/upload/resize_cache/iblock/bae/450_450_1dfc9401eed6705ea741f22b962e86776/Pedigree-Pedigri-Sukhoy-Korm-dlya-Vzroslykh-Sobak-Melkikh-Porod-Govyadina-kupit-Zootovary.Ru.jpg
2022-11-15 19:10:18.967707;246 р;221 р;1;4607065002541;z37962;Pedigree Педигри Сухой Корм для Взрослых Собак Мелких Пород Говядина;Главная|Каталог|Товары и корма для собак|Корм сухой|Pedigree Педигри Сухой Корм для Взрослых Собак Мелких Пород Говядина;Poccия;600г;;;https://zootovary.ru/catalog/tovary-i-korma-dlya-sobak/korm-sukhoy/pedigree-pedigri-sukhoy-korm-dlya-vzroslykh-sobak-melkikh-porod-govyadina.html;https://zootovary.ru/upload/resize_cache/iblock/c52/450_450_1dfc9401eed6705ea741f22b962e86776/Pedigree-Pedigri-Sukhoy-Korm-dlya-Vzroslykh-Sobak-Melkikh-Porod-Govyadina-kupit-Zootovary.Ru.jpg,https://zootovary.ru/upload/resize_cache/iblock/e30/450_450_1dfc9401eed6705ea741f22b962e86776/Pedigree-Pedigri-Sukhoy-Korm-dlya-Vzroslykh-Sobak-Melkikh-Porod-Govyadina-kupit-Zootovary.Ru.jpg,https://zootovary.ru/upload/resize_cache/iblock/bae/450_450_1dfc9401eed6705ea741f22b962e86776/Pedigree-Pedigri-Sukhoy-Korm-dlya-Vzroslykh-Sobak-Melkikh-Porod-Govyadina-kupit-Zootovary.Ru.jpg
